ImageFile,PredictedHasPlate,CropsFound,CropsWithText,OCRText,OCRConfidence
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\031dae4a52cf8aa1_jpg.rf.75dcc6536c5cdb8731d840ebf3e9192e.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\03o6p96xjmka1_jpg.rf.c761c3ca66ad856e5caede59a6e7bb2e.jpg,1,1,1,GSTB,0.947
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\06e69440449abc0d_jpg.rf.1c92193778921a7fe2aae5f382523e8e.jpg,1,1,1,OCTVIRGINIANOSMUG,0.944
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\0d56471a08aa3284_jpg.rf.764f64aad8dd3fc4ddee226fb9f63606.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\0d7605794518bc16_jpg.rf.906d5a771eefddd8c9b7573bcfbb81ee.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\0f206a5a3a72a771_jpg.rf.fc8a5fdbbc83e4118d60a6e24a58a859.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\105_jpg.rf.59038d9f76620b8c32c743e43a3ab361.jpg,1,1,1,NCV3895,0.959
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\15_jpg.rf.41a43244c318ed593f9a343e30f3869a.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\178a7b832a9e317f_jpg.rf.c3e3145ce04010e5843245696b645d19.jpg,1,1,1,JUNCALIFORNIAITSABTU,0.928
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\181c812749eb207f_jpg.rf.15e4a5ff90b4045388926dbaed998854.jpg,1,1,1,148HHN,0.619
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\1923b041b422e356_jpg.rf.f673c38e7ad56ce2cd4cd04b5286ad23.jpg,1,1,1,LANDROVERJANCALRFORMABAANANHONOLULU,0.933
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\1d5b964bef140076_jpg.rf.f15d51bec99e5f47a2245d3870fc75ba.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\1k9uinoun9ha1_jpg.rf.cc8d8a4fd669d49dfe4e08c2df9e5fbf.jpg,1,1,1,LBRG8R3,0.852
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\21_jpg.rf.4a953fc3dda8b8cb292024b2e42ceb29.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\21a5fea23361b170_jpg.rf.bf6cc6e686220a105b6994d7cbdb6360.jpg,1,2,2,CC7333,0.985
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\2655dfa3ddf7168e_jpg.rf.a0a83291429fd87bec96228f3881c191.jpg,1,1,1,53:555-51,0.92
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\27_jpg.rf.73d1a55709c5b5fac0ec1833bc7d4b1e.jpg,1,1,1,9506NCZ,0.995
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\29e1e863621096cf_jpg.rf.78feb70a87ef4074dc0bf8262ee0885c.jpg,1,1,1,HYBRID,0.995
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\2b7eff21a0456d18_jpg.rf.00cbd31e46316026f62bc84c7f2a6a9a.jpg,1,1,1,ZAE807,0.548
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\2ea4d8827720c761_jpg.rf.237f431457c9e57c79415ca2934762a7.jpg,1,1,1,AZ-83-NR,0.855
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\35_jpg.rf.046e58b92fab04a5f8d0a395dd3a7b75.jpg,1,1,1,AFBI122,0.863
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\4106fdfda17fe27e_jpg.rf.2387101de4b4273f6f7c1192cf7147d4.jpg,1,1,1,TMASSACHUSETTSHET40THESPIRITOFAMERICA,0.971
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\42798dca8863869d_jpg.rf.453c979a003975ec5ae8e746a79963a8.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\42ap97bwjxea1_jpg.rf.358290039afbe142d63857f92a624dfd.jpg,1,1,1,NOUYAIITCHANARAEE,0.366
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\437lmpkw84ka1_jpg.rf.e1ff6e8f2f2e0ace18b3a4a4fbe7a07b.jpg,1,1,1,DEVIES,0.513
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\53_jpg.rf.108d6491ba727cca00fa36bac111abfc.jpg,1,1,0,N/A,0
